intent,snippet
get all column name of dataframe `df` except for column 't1_v6',df[df.columns - ['T1_V6']]
how can i slice each element of a numpy array of strings?,"a.view('U1').reshape(4, -1)[:, 1:3].copy().view('U2')"
changing image hue with python pil,return image.convert('HSV')
python: make last item of array become the first,a[-2:] + a[:-2]
how to convert this text file into a dictionary?,"{'label_Bbb': 'hereaswell', 'labelA': 'thereissomethinghere'}"
pandas - conditionally select column based on row value,"pd.concat([foo['Country'], z], axis=1)"
how to use `numpy.savez` in a loop for save more than one array?,"np.savez(tmp, *getarray[:10])"
how do you extract a column from a multi-dimensional array?,[row[0] for row in a]
best way to count the number of rows with missing values in a pandas dataframe,"sum(df.apply(lambda x: sum(x.isnull().values), axis=1) > 0)"
python how to search an item in a nested list,[x for x in li if 'ar' in x[2]]
remove empty strings from a list of strings,str_list = list([_f for _f in str_list if _f])
calculate the sum of the squares of each value in list `l`,"sum(map(lambda x: x * x, l))"
filtering elements from list of lists in python?,[item for item in a if sum(item) > 10]
get a list comparing two lists of tuples `l1` and `l2` if any first value in `l1` matches with first value in `l2`,[x[0] for x in l1 if any(x[0] == y[0] for y in l2)]
skip the newline while printing `line`,print(line.rstrip('\n'))
"how can i ""unpivot"" specific columns from a pandas dataframe?","pd.melt(x, id_vars=['farm', 'fruit'], var_name='year', value_name='value')"
more pythonic way to format a json string from a list of tuples,"(lambda lst: json.dumps({item[0]: item[1] for item in lst}))([(1, 2), (3, 4)])"
how to save a list as numpy array in python?,"myArray = np.load(open('array.npy', 'rb'))"
"reversal of string.contains in python, pandas",df['A'].str.contains('^(?:(?!Hello|World).)*$')
how to sort pandas data frame using values from several columns?,"df.sort(['c1', 'c2'], ascending=[True, True])"
pythonic way of comparing all adjacent elements in a list,A = [(A[i + 1] + A[i]) for i in range(len(A) - 1)]
python dict to numpy structured array,"numpy.array([(key, val) for key, val in result.items()], dtype)"
sort list `l` based on its elements' digits,"sorted(l, key=lambda x: int(re.search('\\d+', x).group(0)))"
get the dot product of two one dimensional numpy arrays,"np.dot(a[:, (None)], b[(None), :])"
convert float series into an integer series in pandas,"df['time'] = pd.to_datetime(df['time'], unit='s')"
sorting json data by keys value,"sorted(results, key=itemgetter('year'))"
access an arbitrary element in a dictionary in python,list(dict.keys())[0]
"sorting a list of tuples `lst` by the sum of the second elements onwards, and third element of the tuple","sorted(lst, key=lambda x: (sum(x[1:]), x[0]))"
first non-null value per row from a list of pandas columns,df.stack().groupby(level=0).first()
python: get the first character of a the first string in a list?,"['b', 's', 't']"
get the dimensions of numpy array `a`,a.shape
removing element from a list in python,del L[index]
compare python pandas dataframes for matching rows,"pd.merge(df1, df2, on=common_cols, how='inner')"
how do i escape closing '/' in html tags in json with python?,"""""""{""asset_id"": ""575155948f7d4c4ebccb02d4e8f84d2f"", ""body"": ""\\u003cscript\\u003e\\u003c/script\\u003e"", ""asset_created"": null}"""""""
numpy - group data into sum values,"[(1, 4), (2, 3), (0, 1, 4), (0, 2, 3)]"
pandas: how to find the max n values for each category in a column,"[['A', 'Book2', '10'], ['B', 'Book1', '7'], ['B', 'Book2', '5']]"
python creating tuple groups in list from another list,"[([1, 2, 3], [-4, -5]), ([3, 2, 4], [-2]), ([5, 6], [-5, -1]), ([1], [])]"
python add comma into number string,"print('Total cost is: ${:,.2f}'.format(TotalAmount))"
how do you filter pandas dataframes by multiple columns,males = df[(df[Gender] == 'Male') & (df[Year] == 2014)]
simple/efficient way to expand a pandas dataframe,"pd.merge(y, x, on='k')[['a', 'b', 'y']]"
python numpy: how to count the number of true elements in a bool array,np.count_nonzero(boolarr)
convert string `s` to lowercase,s.lower()
get a new string including the last two characters of string `x`,x[(-2):]
removing key values pairs with key 'mykey1' from a list of dictionaries `mylist`,"[{k: v for k, v in d.items() if k != 'mykey1'} for d in mylist]"
"sort a list of tuples 'unsorted' based on two elements, second and third","sorted(unsorted, key=lambda element: (element[1], element[2]))"
"getting a sublist of a python list, with the given indices?","[0, 2, 4, 5]"
is there a random letter generator with a range?,random.choice(string.ascii_letters[0:4])
"turn list of categorical variables into (0,1) list","c = np.unique(a, return_inverse=1)[1]"
appending to a pandas dataframe from a pd.read_sql output,"df = df.append(pd.read_sql(querystring, cnxn, params=[i]))"
sort a list of strings `list`,list.sort()
generate all possible strings from a list of token,"print(list(combinations(['hel', 'lo', 'bye'], 2)))"
pythonic way to convert list of dicts into list of namedtuples,"items = [some(a.split(), d, n) for a, d, n in (list(m.values()) for m in dl)]"
remove dtype at the end of numpy array,"data = numpy.loadtxt(fileName, dtype='float')"
select rows of dataframe `df` whose value for column `a` is `foo`,print(df.loc[df['A'] == 'foo'])
sum of products for multiple lists in python,"sum([(x * y) for x, y in zip(*lists)])"
create list `randomlist` with 10 random floating point numbers between 0.0 and 1.0,randomList = [random.random() for _ in range(10)]
how can i convert an rgb image into grayscale in python?,"gray_image = cv2.cvtColor(image, cv2.COLOR_BGR2GRAY)"
pandas: how can i remove duplicate rows from dataframe and calculate their frequency?,"df1.groupby(['key', 'year']).size().reset_index()"
can i set dataframe values without using iterrows()?,df.C[df.B == 'x'] = df.C.shift(-1)
"string split on new line, tab and some number of spaces",[s.strip().split(': ') for s in data_string.splitlines()]
changing image hue with python pil,new_img.save('tweeter_green.png')
pandas: check if row exists with certain values,index_list = df[(df['A'] == 2) & (df['B'] == 3)].index.tolist()
how do i convert a numpy array into a pandas dataframe?,"df = pd.DataFrame({'R': px2[:, (0)], 'G': px2[:, (1)], 'B': px2[:, (2)]})"
find the indices of elements greater than x,"[i for i, v in enumerate(a) if v > 4]"
how to compute weighted sum of all elements in a row in pandas?,df.dot(weight)
pandas groupby: count the number of occurences within a time range for each group,df['yes'] = df['WIN'].map(lambda x: 1 if x == 'Yes' else np.nan)
select everything but a list of columns from pandas dataframe,df[df.columns.difference(['T1_V6'])]
passing columns to rows on python pandas,"df2.columns = ['letter', 'num']"
"python: tuples/dictionaries as keys, select, sort",fruits.sort(key=lambda x: x.name.lower())
get index of the top n values of a list in python,"sorted(list(range(len(a))), key=lambda i: a[i])[-2:]"
select the first row grouped per level 0 of dataframe `df`,"df.groupby(level=0, as_index=False).nth(0)"
python - iterating over a subset of a list of tuples,"ones = [(x, y) for x, y in l if y == 1]"
typeerror: a float is required,x = float(x)
how can i sum the product of two list items using for loop in python?,"sum(x * y for x, y in list(zip(a, b)))"
removing runs from a 2d numpy array,"unset_ones(np.array([0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0]), 3)"
how to remove duplicates from a dataframe?,"df.sort_values(by=['a', 'b']).groupby(df.a).first()[['b']].reset_index()"
getting the row index for a 2d numpy array when multiple column values are known,np.where((a[0] == 2) & (a[1] == 5))
python getting a list of value from list of dict,"map(lambda d: d['value'], l)"
python sorting - a list of objects,"sorted(L, key=operator.itemgetter('resultType'))"
how can i do a line break (line continuation) in python?,a = '1' + '2' + '3' + '4' + '5'
find max length of each column in a list of lists,[max(len(str(x)) for x in line) for line in zip(*foo)]
creating a dictionary from a csv file,"{'Date': ['123', 'abc'], 'Foo': ['456', 'def'], 'Bar': ['789', 'ghi']}"
sorting json data by keys value,"sorted(results, key=lambda x: x['year'])"
python: index a dictionary?,"l = [('blue', '5'), ('red', '6'), ('yellow', '8')]"
convert date strings in pandas dataframe column`df['date']` to pandas timestamps using the format '%d%b%y',"df['date'] = pd.to_datetime(df['date'], format='%d%b%Y')"
remove duplicate rows from dataframe `df1` and calculate their frequency,"df1.groupby(['key', 'year']).size().reset_index()"
python 2.7 - write and read a list from file,my_list = [line.rstrip('\n') for line in f]
drop duplicate indexes in a pandas data frame `df`,df[~df.index.duplicated()]
round number `h` to nearest integer,h = int(round(h))
how can i import a string file into a list of lists?,"[[-1, 2, 0], [0, 0, 0], [0, 2, -1], [-1, -2, 0], [0, -2, 2], [0, 1, 0]]"
best way to extract subset of key-value pairs from python dictionary object,"{k: bigdict.get(k, None) for k in ('l', 'm', 'n')}"
convert numpy array to tuple,tuple([tuple(row) for row in myarray])
sort list with multiple criteria in python,"sorted(file_list, key=lambda x: map(int, x.split('.')[:-1]))"
how to select only specific columns from a dataframe with multiindex columns?,"data.loc[:, (list(itertools.product(['one', 'two'], ['a', 'c'])))]"
coverting index into multiindex (hierachical index) in pandas,df.index = pd.MultiIndex.from_tuples(df.index.str.split('|').tolist())
update index after sorting data-frame,df2.reset_index(drop=True)
python load json file with utf-8 bom header,json.loads(open('sample.json').read().decode('utf-8-sig'))
create a list from a tuple of tuples,[str(item[0]) for item in x if item and item[0]]
index of duplicates items in a python list,"[1, 3, 5, 11, 15, 22]"
converting string lists `s` to float list,floats = [float(x) for x in s.split()]
can i use applymap to change variable names of dataframe,"df.rename(columns=lambda x: x.lower().replace(' ', '_'))"
repeating elements in list comprehension,"[y for x in range(3) for y in [x, x]]"
pandas dataframe bar plot - qualitative variable?,df.groupby('source')['retweet_count'].sum().plot(kind='bar')
get top biggest values from each column of the pandas.dataframe,"pd.DataFrame(_, columns=data.columns, index=data.index[:3])"
how to read only part of a list of strings in python,[s[:5] for s in buckets]
adding up all columns in a dataframe,"pd.concat([df, df.sum(axis=1)], axis=1)"
how to sort a list according to another list?,a.sort(key=lambda x_y: b.index(x_y[0]))
sort dataframe `df` based on column 'b' in ascending and column 'c' in descending,"df.sort_values(['b', 'c'], ascending=[True, False], inplace=True)"
how to convert python list of points to numpy image array?,numpy.array(your_list)
python: find difference between two dictionaries containing lists,"{key: list(set.difference(set(a[key]), b.get(key, []))) for key in a}"
creating a zero-filled pandas data frame,"d = pd.DataFrame(0, index=np.arange(len(data)), columns=feature_list)"
"sort list `['14:10:01', '03:12:08']`","sorted(['14:10:01', '03:12:08'])"
python lambda returning none instead of empty string,f = lambda x: '' if x is None else x
python how to get every first element in 2 dimensional list,[i[0] for i in a]
python: how to get local maxima values from 1d-array or list,y[argrelmax(y)[0]]
best way to encode tuples with json,"{'[1,2]': [(2, 3), (1, 7)]}"
duplicate each member in a list - python,[a[i // 2] for i in range(len(a) * 2)]
averaging the values in a dictionary based on the key,"[(i, sum(j) / len(j)) for i, j in list(d.items())]"
convert list of tuples to list?,"[1, 2, 3]"
comparing 2 lists consisting of dictionaries with unique keys in python,"[[(k, x[k], y[k]) for k in x if x[k] != y[k]] for x, y in pairs if x != y]"
python : how to fill an array line by line?,"[[0, 0, 0], [1, 1, 1], [0, 0, 0]]"
how to resize window in opencv2 python,"cv2.namedWindow('main', cv2.WINDOW_NORMAL)"
"reading tab-delimited file with pandas - works on windows, but not on mac","pandas.read_csv(filename, sep='\t', lineterminator='\r')"
sorting a counter in python by keys,"sorted(list(c.items()), key=itemgetter(0))"
concatenate dataframe `df1` with `df2` whilst removing duplicates,"pandas.concat([df1, df2]).drop_duplicates().reset_index(drop=True)"
how can i get the index value of a list comprehension?,"{p.id: {'id': p.id, 'position': ind} for ind, p in enumerate(p_list)}"
